,Time,MET,MET HR,ANK_GryoX,ANK_GyroY,ANK_GyroZ,THIGH_GryoX,THIGH_GyroY,THIGH_GyroZ,THIGH_AccX,THIGH_AccY,THIGH_AccZ,ANK_AccX,ANK_AccY,ANK_AccZ
0,0.0,3.5,17.37,4.375,1.4375,0.8125,4.875,2.0,-0.0625,1.3304093656,8.8630149104,3.2063822839999996,-0.7274180703999998,8.977870395199998,2.3066809864
1,1.0,3.5,17.37,1.0613924050632921,-2.382278481012652,-3.6783227848101347,-2.001265822784809,4.992879746835449,-5.326582278481,1.9146457778389867,9.657480475829873,3.7805870146551896,2.489795521976707,9.427624119540253,2.2495440173792405
2,2.0,3.5,17.37,-2.6243670886075954,0.9327531645569662,1.6852848101265843,1.0606012658227866,5.5590189873417755,6.313449367088607,-0.17213784051037986,9.14072771868962,2.5462055575493667,-0.23952457114936684,9.102394094859747,1.5213990135311395
3,3.0,2.575189873417722,17.697240506329113,-1.003322784810114,5.798734177215242,1.3044303797468662,0.938449367088604,2.56487341772151,2.248101265822792,1.626537821241521,9.093162040068858,2.6323229400344292,-0.860979975931141,9.15979760614481,1.6731584863797537
4,4.0,2.2,17.83,0.9981012658227866,1.6818037974683597,-2.623734177215191,1.2506329113924044,1.5662974683544268,1.6843354430379776,1.9236355214805063,8.978064244119492,2.8332958073194936,-0.535216866722026,9.150347471319494,1.7508676719817724
5,5.0,2.6670886075949367,17.45632911392405,8.346518987341849,-2.1827531645569747,-17.323575949367225,2.8844936708860507,8.495253164556974,17.43275316455714,2.309588720192423,8.842903085002535,2.7462334113519002,0.8433639553721745,9.254105105478484,1.5599991796253168
6,6.0,3.1,17.11,-7.380696202531624,-13.326424050633339,-48.983702531645875,-2.3579113924051285,-10.834968354430773,-7.316455696202277,5.547592609184787,8.586319808937718,3.966270048415212,2.5929716093771815,9.979948153407605,1.558666468303803
7,7.0,3.1,17.11,13.244462025316482,7.587499999999599,-60.55395569620343,10.895411392405256,22.988291139240847,-15.997310126582004,2.888663904949882,9.126358667532129,2.8267534062865676,-1.2292686918542017,10.95556553410432,1.6372964362733708
8,8.0,3.1,17.11,4.785917721519011,-23.563291139240906,-44.78006329113933,6.607278481012674,-31.73433544303793,-59.72420886075946,1.8274622262967004,8.528795142077973,2.878438374446584,0.31318716055694706,9.75496225122026,1.72646693924052
9,9.0,3.1,17.11,-20.610601265823217,29.335443037977356,358.1344936708871,-18.91613924050645,47.17674050633093,-34.92848101265933,-1.3389144869427372,6.131271705780275,2.1918255016,-3.511233941018528,9.873088936537,0.9182623316413614
10,10.0,3.210126582278481,17.100886075949365,6.849683544304198,62.65901898734251,-89.20015822784707,-33.756329113924366,61.26424050632974,128.38132911392438,0.8480890227848457,14.092574136040495,1.629663635068322,-14.604456439078664,2.7931206187542816,2.1816484333266604
11,11.0,5.83113924050633,16.883974683544306,5.74319620253164,14.884651898734212,-164.9957278481013,27.65253164556963,15.038607594936767,-0.10142405063287896,4.85523696209823,10.324974998991394,4.039108779914935,2.8412193819038034,15.09242263167393,2.7017935465579734
12,12.0,6.0,16.87,18.569936708860972,0.21962025316467337,-124.22088607595043,34.98053797468434,56.14683544303645,-52.69731012658176,6.789485711921072,7.869999589178613,4.995680504271321,4.278972586673379,10.25557708581253,2.3131991563182064
